"","error_min","error_max","error_mean(sd)","error_median(Q1-Q3)","loglambda_min","loglambda_max","loglambda_mean(sd)","loglambda_median(Q1-Q3)","nvar_min","nvar_max","nvar_mean(sd)","nvar_median(Q1-Q3)"
"True (pop)","269.9846","303.9145","285.7612 (5.7396)","285.8489 (281.6486, 289.5222)","-3.9107","0.9251","-0.5235 (0.67)","-0.5752 (-0.9651, -0.0304)","7","50","31.844 (9.5774)","34 (24, 39)"
"JKn","275.1018","490.8108","295.1976 (15.2732)","292.5555 (288.2798, 298.7268)","-1.8186","1.3745","0.0563 (0.5842)","0.0978 (-0.3299, 0.4821)","0","47","20.44 (11.6749)","19 (11, 29)"
"dCV","275.5723","490.8108","295.3085 (14.6163)","292.8315 (288.3018, 298.0781)","-2.2425","1.3953","0.1121 (0.5797)","0.1512 (-0.2871, 0.5257)","0","48","19.758 (11.4573)","19 (11, 28)"
"Bootstrap","277.9754","504.6045","291.6013 (14.5287)","289.0254 (285.9994, 293.3441)","-1.117","0.698","-0.1733 (0.2177)","-0.1859 (-0.3065, -0.0361)","9","42","26.292 (6.0963)","26 (22, 31)"
"BRR","284.9264","405.6746","298.8895 (8.7721)","297.2176 (292.7776, 303.6531)","-0.3504","1.5353","0.6956 (0.2863)","0.6815 (0.5114, 0.8822)","0","34","9.666 (6.0937)","10 (5, 14)"
"Split R=20 (cv)","281.5547","442.1952","297.0858 (10.6293)","294.8913 (291.0887, 301.1746)","-1.1366","1.3745","0.495 (0.3705)","0.5081 (0.2563, 0.727)","0","45","13.112 (8.0012)","12 (7, 18)"
"Split R=20 (boot)","281.7244","442.1952","297.1298 (10.7955)","294.997 (291.4583, 300.9304)","-1.1366","1.4423","0.5066 (0.3606)","0.5263 (0.2961, 0.7337)","0","45","13.004 (7.9505)","12 (7.75, 18)"
"Extrap. R=20","288.6752","442.1952","306.506 (9.0191)","308.4027 (301.1335, 311.6608)","-0.5365","1.6963","1.1055 (0.2182)","1.125 (0.9737, 1.2537)","0","35","4.012 (4.4802)","2 (1, 7)"
"SRSCV (K=10)","271.6836","597.2367","298.2889 (25.9175)","291.337 (285.2929, 303.4715)","-4.9585","1.2007","-1.396 (0.9204)","-1.3597 (-1.7426, -0.8168)","0","50","39.364 (9.0688)","42 (35, 46)"
"Unw (K=10)","269.9897","667.9919","307.5706 (33.4953)","299.2132 (289.8317, 315.5302)","-5.0804","-2.1709","-3.642 (0.7212)","-3.5206 (-4.1404, -3.0758)","42","50","49.01 (1.1526)","49 (48, 50)"
