"","error_min","error_max","error_mean(sd)","error_median(Q1-Q3)","loglambda_min","loglambda_max","loglambda_mean(sd)","loglambda_median(Q1-Q3)","nvar_min","nvar_max","nvar_mean(sd)","nvar_median(Q1-Q3)"
"True (pop)","0.5323","0.5825","0.5538 (0.0075)","0.5541 (0.5485, 0.5585)","-5.9564","-2.7324","-4.0421 (0.5291)","-4.0552 (-4.3955, -3.6614)","5","49","27.95 (8.9769)","29 (21, 35)"
"JKn","0.54","0.9242","0.5671 (0.023)","0.5631 (0.5572, 0.5704)","-5.3499","-2.4856","-3.5922 (0.5091)","-3.5272 (-3.9283, -3.231)","0","49","18.372 (10.7272)","17 (11, 26)"
"dCV","0.5395","0.8927","0.5672 (0.0203)","0.5632 (0.558, 0.5721)","-5.2106","-2.4878","-3.5178 (0.4872)","-3.4594 (-3.8151, -3.168)","0","46","17.15 (10.3277)","15.5 (10, 24)"
"Bootstrap","0.5409","0.7617","0.5614 (0.0165)","0.5579 (0.5531, 0.5639)","-4.8384","-3.3447","-3.9388 (0.1976)","-3.935 (-4.0659, -3.8036)","5","42","26.112 (5.9883)","26.5 (22, 31)"
"BRR","0.5481","0.5943","0.5708 (0.0102)","0.5688 (0.5626, 0.5779)","-4.0474","-2.3599","-3.0448 (0.2736)","-3.0599 (-3.2097, -2.8747)","0","36","9.164 (6.2382)","9 (4, 13)"
"Split R=20 (cv)","0.5464","0.6564","0.5683 (0.0111)","0.5658 (0.5603, 0.5746)","-4.421","-2.3645","-3.2366 (0.3519)","-3.2181 (-3.4625, -2.9896)","0","39","12.386 (7.8092)","12 (7, 17)"
"Split R=20 (boot)","0.5444","0.6276","0.5686 (0.0108)","0.5664 (0.5607, 0.5748)","-4.3714","-2.4335","-3.204 (0.3434)","-3.1986 (-3.3983, -2.9843)","0","38","11.884 (7.5991)","11 (7, 16)"
"Extrap. R=20","0.5544","0.5943","0.5803 (0.0091)","0.5842 (0.5741, 0.5872)","-3.4821","-2.1384","-2.654 (0.198)","-2.6251 (-2.7583, -2.5294)","0","23","3.7 (4.5267)","2 (0, 6)"
"SRSCV (K=10)","0.5323","1.2144","0.5768 (0.0462)","0.5635 (0.5542, 0.5838)","-6.327","-2.7523","-4.7127 (0.612)","-4.7201 (-5.1245, -4.4126)","0","50","36.23 (9.6768)","39 (32, 43)"
"Unw (K=10)","0.5385","1.3122","0.6043 (0.0588)","0.5889 (0.5693, 0.6226)","-6.9875","-5.2221","-6.2115 (0.27)","-6.2108 (-6.3997, -6.0281)","38","50","47.372 (1.8023)","48 (46, 49)"
